class,order,family,genus,species,taxon,gapfill,match_rank,vuln_gf_id
demospongiae,suberitida,suberitidae,aaptos,aaptos aaptos,sponges,none,class,1
demospongiae,suberitida,suberitidae,aaptos,aaptos alphiensis,sponges,none,class,2
demospongiae,suberitida,suberitidae,aaptos,aaptos bergmanni,sponges,none,class,3
demospongiae,suberitida,suberitidae,aaptos,aaptos ciliata,sponges,none,class,4
demospongiae,suberitida,suberitidae,aaptos,aaptos conferta,sponges,none,class,5
demospongiae,suberitida,suberitidae,aaptos,aaptos duchassaingi,sponges,none,class,6
demospongiae,suberitida,suberitidae,aaptos,aaptos durissima,sponges,none,class,7
demospongiae,suberitida,suberitidae,aaptos,aaptos globosa,sponges,none,class,8
demospongiae,suberitida,suberitidae,aaptos,aaptos glutinans,sponges,none,class,9
demospongiae,suberitida,suberitidae,aaptos,aaptos hajdui,sponges,none,class,10
demospongiae,suberitida,suberitidae,aaptos,aaptos horrida,sponges,none,class,11
demospongiae,suberitida,suberitidae,aaptos,aaptos kanuux,sponges,none,class,12
demospongiae,suberitida,suberitidae,aaptos,aaptos laxosuberites,sponges,none,class,13
demospongiae,suberitida,suberitidae,aaptos,aaptos lobata,sponges,none,class,14
demospongiae,suberitida,suberitidae,aaptos,aaptos niger,sponges,none,class,15
demospongiae,suberitida,suberitidae,aaptos,aaptos nuda,sponges,none,class,16
demospongiae,suberitida,suberitidae,aaptos,aaptos papillata,sponges,none,class,17
demospongiae,suberitida,suberitidae,aaptos,aaptos pernucleata,sponges,none,class,18
demospongiae,suberitida,suberitidae,aaptos,aaptos potiguarensis,sponges,none,class,19
demospongiae,suberitida,suberitidae,aaptos,aaptos robustus,sponges,none,class,20
demospongiae,suberitida,suberitidae,aaptos,aaptos rosacea,sponges,none,class,21
demospongiae,suberitida,suberitidae,aaptos,aaptos simplex,sponges,none,class,22
demospongiae,suberitida,suberitidae,aaptos,aaptos suberitoides,sponges,none,class,23
demospongiae,suberitida,suberitidae,aaptos,aaptos tenta,sponges,none,class,24
demospongiae,suberitida,suberitidae,aaptos,aaptos vannamei,sponges,none,class,25
actinopterygii,tetraodontiformes,balistidae,abalistes,abalistes filamentosus,fish,family,NA,26
actinopterygii,tetraodontiformes,balistidae,abalistes,abalistes stellaris,fish,family,NA,27
actinopterygii,tetraodontiformes,balistidae,abalistes,abalistes stellatus,fish,family,NA,28
echinoidea,spatangoida,schizasteridae,abatus,abatus (pseudabatus) nimrodi,echinoderms,family,NA,29
echinoidea,spatangoida,schizasteridae,abatus,abatus agassizii,echinoderms,family,NA,30
echinoidea,spatangoida,schizasteridae,abatus,abatus beatriceae,echinoderms,family,NA,31
echinoidea,spatangoida,schizasteridae,abatus,abatus cavernosus,echinoderms,family,NA,32
echinoidea,spatangoida,schizasteridae,abatus,abatus cordatus,echinoderms,family,NA,33
echinoidea,spatangoida,schizasteridae,abatus,abatus curvidens,echinoderms,family,NA,34
echinoidea,spatangoida,schizasteridae,abatus,abatus ingens,echinoderms,family,NA,35
echinoidea,spatangoida,schizasteridae,abatus,abatus kieri,echinoderms,family,NA,36
echinoidea,spatangoida,schizasteridae,abatus,abatus koehleri,echinoderms,family,NA,37
echinoidea,spatangoida,schizasteridae,abatus,abatus philippii,echinoderms,family,NA,38
echinoidea,spatangoida,schizasteridae,abatus,abatus shackletoni,echinoderms,family,NA,39
cephalopoda,octopoda,octopodidae,abdopus,abdopus abaculus,cephalopods,none,species,40
cephalopoda,octopoda,octopodidae,abdopus,abdopus aculeatus,cephalopods,none,species,41
cephalopoda,octopoda,octopodidae,abdopus,abdopus capricornicus,cephalopods,none,genus,42
cephalopoda,octopoda,octopodidae,abdopus,abdopus horridus,cephalopods,none,species,43
cephalopoda,octopoda,octopodidae,abdopus,abdopus tenebricus,cephalopods,none,species,44
cephalopoda,octopoda,octopodidae,abdopus,abdopus tonganus,cephalopods,none,species,45
cephalopoda,octopoda,octopodidae,abdopus,abdopus undulatus,cephalopods,none,species,46
actinopterygii,perciformes,gobiidae,aboma,aboma etheostoma,fish,family,NA,47
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (abralia) armata,cephalopods,none,genus,48
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (abralia) multihamata,cephalopods,none,genus,49
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (abralia) renschi,cephalopods,none,genus,50
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (abralia) spaercki,cephalopods,none,genus,51
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (abralia) steindachneri,cephalopods,none,genus,52
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (asteroteuthis) veranyi,cephalopods,none,genus,53
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (astrabralia) astrosticta,cephalopods,none,genus,54
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (enigmoteuthis) dubia,cephalopods,none,genus,55
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (enigmoteuthis) fasciolata,cephalopods,none,genus,56
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (enigmoteuthis) marisarabica,cephalopods,none,genus,57
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (heterabralia) andamanica,cephalopods,none,genus,58
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (heterabralia) heminuchalis,cephalopods,none,genus,59
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (heterabralia) robsoni,cephalopods,none,genus,60
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (heterabralia) siedleckyi,cephalopods,none,genus,61
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (heterabralia) trigonura,cephalopods,none,genus,62
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (pygmabralia) grimpei,cephalopods,none,genus,63
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (pygmabralia) omiae,cephalopods,none,genus,64
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (pygmabralia) redfieldi,cephalopods,none,genus,65
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (pygmabralia) similis,cephalopods,none,genus,66
cephalopoda,oegopsida,enoploteuthidae,abralia,abralia astrolineata,cephalopods,none,genus,67
cephalopoda,oegopsida,enoploteuthidae,abraliopsis,abraliopsis (abraliopsis) hoylei,cephalopods,none,genus,68
cephalopoda,oegopsida,enoploteuthidae,abraliopsis,abraliopsis (abraliopsis) morisii,cephalopods,none,genus,69
cephalopoda,oegopsida,enoploteuthidae,abraliopsis,abraliopsis (abraliopsis) pacificus,cephalopods,none,genus,70
cephalopoda,oegopsida,enoploteuthidae,abraliopsis,abraliopsis (boreabraliopsis) felis,cephalopods,none,genus,71
cephalopoda,oegopsida,enoploteuthidae,abraliopsis,abraliopsis (micrabralia) lineata,cephalopods,none,genus,72
cephalopoda,oegopsida,enoploteuthidae,abraliopsis,abraliopsis (pfefferiteuthis) affinis,cephalopods,none,genus,73
cephalopoda,oegopsida,enoploteuthidae,abraliopsis,abraliopsis (pfefferiteuthis) atlantica,cephalopods,none,genus,74
cephalopoda,oegopsida,enoploteuthidae,abraliopsis,abraliopsis (pfefferiteuthis) chuni,cephalopods,none,genus,75
cephalopoda,oegopsida,enoploteuthidae,abraliopsis,abraliopsis (pfefferiteuthis) falco,cephalopods,none,genus,76
cephalopoda,oegopsida,enoploteuthidae,abraliopsis,abraliopsis gilchristi,cephalopods,none,genus,77
cephalopoda,oegopsida,enoploteuthidae,abraliopsis,abraliopsis tui,cephalopods,none,genus,78
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf abdominalis,fish,family,NA,79
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf bengalensis,fish,family,NA,80
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf concolor,fish,family,NA,81
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf conformis,fish,family,NA,82
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf declivifrons,fish,family,NA,83
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf hoefleri,fish,family,NA,84
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf lorenzi,fish,family,NA,85
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf luridus,fish,family,NA,86
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf margariteus,fish,family,NA,87
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf natalensis,fish,family,NA,88
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf notatus,fish,family,NA,89
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf saxatilis,fish,family,NA,90
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf septemfasciatus,fish,family,NA,91
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf sexfasciatus,fish,family,NA,92
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf sordidus,fish,family,NA,93
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf sparoides,fish,family,NA,94
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf taurus,fish,family,NA,95
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf troschelii,fish,family,NA,96
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf vaigiensis,fish,family,NA,97
actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf whitleyi,fish,family,NA,98
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia annae,sponges,none,class,99
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia atlantica,sponges,none,class,100
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia boletiphora,sponges,none,class,101
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia bruuni,sponges,none,class,102
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia carcharias,sponges,none,class,103
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia claviformis,sponges,none,class,104
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia corniculiphora,sponges,none,class,105
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia desmophora,sponges,none,class,106
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia diegoramirezensis,sponges,none,class,107
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia dominalba,sponges,none,class,108
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia escheri,sponges,none,class,109
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia faranauti,sponges,none,class,110
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia flagrum,sponges,none,class,111
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia fryerae,sponges,none,class,112
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia gliscofila,sponges,none,class,113
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia hemiradiata,sponges,none,class,114
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia huitzilopochtli,sponges,none,class,115
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia inflata,sponges,none,class,116
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia kanaconi,sponges,none,class,117
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia kellyae,sponges,none,class,118
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia koltuni,sponges,none,class,119
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia lakwollii,sponges,none,class,120
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia leverhulmei,sponges,none,class,121
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia marianensis,sponges,none,class,122
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia microstrongylata,sponges,none,class,123
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia mucronata,sponges,none,class,124
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia myojinensis,sponges,none,class,125
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia natushimae,sponges,none,class,126
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia naudur,sponges,none,class,127
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia oxeata,sponges,none,class,128
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia polycephalus,sponges,none,class,129
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia stegosaurensis,sponges,none,class,130
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia symmetrica,sponges,none,class,131
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia tecta,sponges,none,class,132
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia umbellata,sponges,none,class,133
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia vaceleti,sponges,none,class,134
demospongiae,poecilosclerida,cladorhizidae,abyssocladia,abyssocladia villosa,sponges,none,class,135
holothuroidea,dendrochirotida,cucumariidae,abyssocucumis,abyssocucumis abyssorum,echinoderms,family,NA,136
holothuroidea,dendrochirotida,cucumariidae,abyssocucumis,abyssocucumis albatrossi,echinoderms,family,NA,137
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon christae,molluscs,family,NA,138
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon crystallinus,molluscs,family,NA,139
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon delicatus,molluscs,family,NA,140
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon edzoevi,molluscs,family,NA,141
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon fusiformis,molluscs,family,NA,142
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon hadalis,molluscs,family,NA,143
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon hubbsi,molluscs,family,NA,144
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon ivanovi,molluscs,family,NA,145
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon lorenzoensis,molluscs,family,NA,146
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon minimus,molluscs,family,NA,147
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon multicostatus,molluscs,family,NA,148
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon newmani,molluscs,family,NA,149
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon odisseyi,molluscs,family,NA,150
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon panamensis,molluscs,family,NA,151
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon ruthenicus,molluscs,family,NA,152
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon soyoae,molluscs,family,NA,153
gastropoda,neogastropoda,muricidae,abyssotrophon,abyssotrophon teratus,molluscs,family,NA,154
gastropoda,neogastropoda,muricidae,acanthais,acanthais brevidentata,molluscs,family,NA,155
gastropoda,neogastropoda,muricidae,acanthais,acanthais callaoensis,molluscs,family,NA,156
gastropoda,neogastropoda,muricidae,acanthais,acanthais triangularis,molluscs,family,NA,157
actinopterygii,tetraodontiformes,monacanthidae,acanthaluteres,acanthaluteres brownii,fish,family,NA,158
actinopterygii,tetraodontiformes,monacanthidae,acanthaluteres,acanthaluteres spilomelanurus,fish,family,NA,159
actinopterygii,tetraodontiformes,monacanthidae,acanthaluteres,acanthaluteres vittiger,fish,family,NA,160
demospongiae,poecilosclerida,hymedesmiidae,acanthancora,acanthancora aenigma,sponges,none,class,161
demospongiae,poecilosclerida,hymedesmiidae,acanthancora,acanthancora coralliophila,sponges,none,class,162
demospongiae,poecilosclerida,hymedesmiidae,acanthancora,acanthancora cyanocrypta,sponges,none,class,163
demospongiae,poecilosclerida,hymedesmiidae,acanthancora,acanthancora schmidti,sponges,none,class,164
demospongiae,poecilosclerida,hymedesmiidae,acanthancora,acanthancora stylifera,sponges,none,class,165
actinopterygii,perciformes,tripterygiidae,acanthanectes,acanthanectes hystrix,fish,family,NA,166
actinopterygii,perciformes,tripterygiidae,acanthanectes,acanthanectes rufus,fish,family,NA,167
asteroidea,valvatida,acanthasteridae,acanthaster,acanthaster brevispinus,echinoderms,none,genus,168
asteroidea,valvatida,acanthasteridae,acanthaster,acanthaster planci,echinoderms,none,genus,169
demospongiae,bubarida,dictyonellidae,acanthella,acanthella aculeata,sponges,none,class,170
demospongiae,bubarida,dictyonellidae,acanthella,acanthella acuta,sponges,none,class,171
demospongiae,bubarida,dictyonellidae,acanthella,acanthella annulata,sponges,none,class,172
demospongiae,bubarida,dictyonellidae,acanthella,acanthella branchia,sponges,none,class,173
demospongiae,bubarida,dictyonellidae,acanthella,acanthella calyx,sponges,none,class,174
demospongiae,bubarida,dictyonellidae,acanthella,acanthella cavernosa,sponges,none,class,175
demospongiae,bubarida,dictyonellidae,acanthella,acanthella costata,sponges,none,class,176
demospongiae,bubarida,dictyonellidae,acanthella,acanthella cubensis,sponges,none,class,177
demospongiae,bubarida,dictyonellidae,acanthella,acanthella danerii,sponges,none,class,178
demospongiae,bubarida,dictyonellidae,acanthella,acanthella dendyi,sponges,none,class,179
demospongiae,bubarida,dictyonellidae,acanthella,acanthella erecta,sponges,none,class,180
demospongiae,bubarida,dictyonellidae,acanthella,acanthella flabellata,sponges,none,class,181
demospongiae,bubarida,dictyonellidae,acanthella,acanthella flagelliformis,sponges,none,class,182
demospongiae,bubarida,dictyonellidae,acanthella,acanthella gorgonoides,sponges,none,class,183
demospongiae,bubarida,dictyonellidae,acanthella,acanthella hispida,sponges,none,class,184
demospongiae,bubarida,dictyonellidae,acanthella,acanthella insignis,sponges,none,class,185
demospongiae,bubarida,dictyonellidae,acanthella,acanthella klethra,sponges,none,class,186
demospongiae,bubarida,dictyonellidae,acanthella,acanthella ligulata,sponges,none,class,187
demospongiae,bubarida,dictyonellidae,acanthella,acanthella mastophora,sponges,none,class,188
demospongiae,bubarida,dictyonellidae,acanthella,acanthella megaspicula,sponges,none,class,189
demospongiae,bubarida,dictyonellidae,acanthella,acanthella minuta,sponges,none,class,190
demospongiae,bubarida,dictyonellidae,acanthella,acanthella multiformis,sponges,none,class,191
demospongiae,bubarida,dictyonellidae,acanthella,acanthella oviforma,sponges,none,class,192
demospongiae,bubarida,dictyonellidae,acanthella,acanthella pulcherrima,sponges,none,class,193
demospongiae,bubarida,dictyonellidae,acanthella,acanthella ramosa,sponges,none,class,194
demospongiae,bubarida,dictyonellidae,acanthella,acanthella ramus,sponges,none,class,195
demospongiae,bubarida,dictyonellidae,acanthella,acanthella simplex,sponges,none,class,196
demospongiae,bubarida,dictyonellidae,acanthella,acanthella stanleei,sponges,none,class,197
demospongiae,bubarida,dictyonellidae,acanthella,acanthella styloida,sponges,none,class,198
demospongiae,bubarida,dictyonellidae,acanthella,acanthella tenuispiculata,sponges,none,class,199
demospongiae,bubarida,dictyonellidae,acanthella,acanthella vaceleti,sponges,none,class,200
demospongiae,bubarida,dictyonellidae,acanthella,acanthella vulgata,sponges,none,class,201
demospongiae,bubarida,dictyonellidae,acanthella,acanthella xutha,sponges,none,class,202
demospongiae,axinellida,raspailiidae,acantheurypon,acantheurypon pilosella,sponges,none,class,203
demospongiae,axinellida,raspailiidae,acantheurypon,acantheurypon spinispinosum,sponges,none,class,204
gastropoda,neogastropoda,muricidae,acanthina,acanthina monodon,molluscs,family,NA,205
gastropoda,neogastropoda,muricidae,acanthina,acanthina unicornis,molluscs,family,NA,206
gastropoda,neogastropoda,muricidae,acanthinucella,acanthinucella paucilirata,molluscs,family,NA,207
gastropoda,neogastropoda,muricidae,acanthinucella,acanthinucella punctulata,molluscs,family,NA,208
gastropoda,neogastropoda,muricidae,acanthinucella,acanthinucella spirata,molluscs,family,NA,209
actinopterygii,perciformes,serranidae,acanthistius,acanthistius brasilianus,fish,family,NA,210
actinopterygii,perciformes,serranidae,acanthistius,acanthistius cinctus,fish,family,NA,211
actinopterygii,perciformes,serranidae,acanthistius,acanthistius fuscus,fish,family,NA,212
actinopterygii,perciformes,serranidae,acanthistius,acanthistius joanae,fish,family,NA,213
actinopterygii,perciformes,serranidae,acanthistius,acanthistius ocellatus,fish,family,NA,214
actinopterygii,perciformes,serranidae,acanthistius,acanthistius pardalotus,fish,family,NA,215
actinopterygii,perciformes,serranidae,acanthistius,acanthistius patachonicus,fish,family,NA,216
actinopterygii,perciformes,serranidae,acanthistius,acanthistius paxtoni,fish,family,NA,217
actinopterygii,perciformes,serranidae,acanthistius,acanthistius pictus,fish,family,NA,218
actinopterygii,perciformes,serranidae,acanthistius,acanthistius sebastoides,fish,family,NA,219
actinopterygii,perciformes,serranidae,acanthistius,acanthistius serratus,fish,family,NA,220
bivalvia,cardiida,cardiidae,acanthocardia,acanthocardia aculeata,molluscs,family,NA,221
bivalvia,cardiida,cardiidae,acanthocardia,acanthocardia brunettii,molluscs,family,NA,222
bivalvia,cardiida,cardiidae,acanthocardia,acanthocardia deshayesii,molluscs,family,NA,223
bivalvia,cardiida,cardiidae,acanthocardia,acanthocardia echinata,molluscs,family,NA,224
bivalvia,cardiida,cardiidae,acanthocardia,acanthocardia leognanensis,molluscs,family,NA,225
bivalvia,cardiida,cardiidae,acanthocardia,acanthocardia lunulata,molluscs,family,NA,226
bivalvia,cardiida,cardiidae,acanthocardia,acanthocardia paucicostata,molluscs,family,NA,227
bivalvia,cardiida,cardiidae,acanthocardia,acanthocardia saucatsensis,molluscs,family,NA,228
bivalvia,cardiida,cardiidae,acanthocardia,acanthocardia sliggersi,molluscs,family,NA,229
bivalvia,cardiida,cardiidae,acanthocardia,acanthocardia spinosa,molluscs,family,NA,230
bivalvia,cardiida,cardiidae,acanthocardia,acanthocardia subserrigera,molluscs,family,NA,231
bivalvia,cardiida,cardiidae,acanthocardia,acanthocardia tuberculata,molluscs,family,NA,232
demospongiae,clionaida,acanthochaetetidae,acanthochaetetes,acanthochaetetes horiguchi,sponges,none,class,233
demospongiae,clionaida,acanthochaetetidae,acanthochaetetes,acanthochaetetes japonica,sponges,none,class,234
demospongiae,clionaida,acanthochaetetidae,acanthochaetetes,acanthochaetetes seunesi,sponges,none,class,235
demospongiae,clionaida,acanthochaetetidae,acanthochaetetes,acanthochaetetes wellsi,sponges,none,class,236
actinopterygii,perciformes,pomacentridae,acanthochromis,acanthochromis polyacanthus,fish,none,species,237
demospongiae,axinellida,stelligeridae,acanthoclada,acanthoclada prostrata,sponges,none,class,238
actinopterygii,perciformes,scombridae,acanthocybium,acanthocybium solandri,fish,family,NA,239
demospongiae,dendroceratida,dictyodendrillidae,acanthodendrilla,acanthodendrilla australis,sponges,none,class,240
demospongiae,dendroceratida,dictyodendrillidae,acanthodendrilla,acanthodendrilla levii,sponges,none,class,241
actinopterygii,perciformes,gobiidae,acanthogobius,acanthogobius elongatus,fish,family,NA,242
actinopterygii,perciformes,gobiidae,acanthogobius,acanthogobius flavimanus,fish,family,NA,243
actinopterygii,perciformes,gobiidae,acanthogobius,acanthogobius hasta,fish,family,NA,244
actinopterygii,perciformes,gobiidae,acanthogobius,acanthogobius insularis,fish,family,NA,245
actinopterygii,perciformes,gobiidae,acanthogobius,acanthogobius lactipes,fish,family,NA,246
actinopterygii,perciformes,gobiidae,acanthogobius,acanthogobius luridus,fish,family,NA,247
actinopterygii,perciformes,gobiidae,acanthogobius,acanthogobius stigmothonus,fish,family,NA,248
actinopterygii,perciformes,labridae,acantholabrus,acantholabrus palloni,fish,family,NA,249
demospongiae,polymastiida,polymastiidae,acanthopolymastia,acanthopolymastia acanthoxa,sponges,none,class,250
demospongiae,polymastiida,polymastiidae,acanthopolymastia,acanthopolymastia bathamae,sponges,none,class,251
demospongiae,polymastiida,polymastiidae,acanthopolymastia,acanthopolymastia pisiformis,sponges,none,class,252
actinopterygii,pleuronectiformes,pleuronectidae,acanthopsetta,acanthopsetta nadeshnyi,fish,family,NA,253
demospongiae,poecilosclerida,acarnidae,acanthorhabdus,acanthorhabdus fragilis,sponges,none,class,254
demospongiae,haplosclerida,petrosiidae,acanthostrongylophora,acanthostrongylophora ashmorica,sponges,none,class,255
demospongiae,haplosclerida,petrosiidae,acanthostrongylophora,acanthostrongylophora ingens,sponges,none,class,256
demospongiae,agelasida,agelasidae,acanthostylotella,acanthostylotella cornuta,sponges,none,class,257
demospongiae,tetractinellida,tetillidae,acanthotetilla,acanthotetilla celebensis,sponges,none,class,258
demospongiae,tetractinellida,tetillidae,acanthotetilla,acanthotetilla enigmatica,sponges,none,class,259
demospongiae,tetractinellida,tetillidae,acanthotetilla,acanthotetilla gorgonosclera,sponges,none,class,260
demospongiae,tetractinellida,tetillidae,acanthotetilla,acanthotetilla hemisphaerica,sponges,none,class,261
demospongiae,tetractinellida,tetillidae,acanthotetilla,acanthotetilla rocasensis,sponges,none,class,262
demospongiae,tetractinellida,tetillidae,acanthotetilla,acanthotetilla seychellensis,sponges,none,class,263
demospongiae,tetractinellida,tetillidae,acanthotetilla,acanthotetilla walteri,sponges,none,class,264
demospongiae,tetractinellida,pachastrellidae,acanthotriaena,acanthotriaena crypta,sponges,none,class,265
gastropoda,neogastropoda,muricidae,acanthotrophon,acanthotrophon aquensis,molluscs,family,NA,266
gastropoda,neogastropoda,muricidae,acanthotrophon,acanthotrophon carduus,molluscs,family,NA,267
gastropoda,neogastropoda,muricidae,acanthotrophon,acanthotrophon latispinosus,molluscs,family,NA,268
gastropoda,neogastropoda,muricidae,acanthotrophon,acanthotrophon sentus,molluscs,family,NA,269
gastropoda,neogastropoda,muricidae,acanthotrophon,acanthotrophon sorenseni,molluscs,family,NA,270
gastropoda,neogastropoda,muricidae,acanthotrophon,acanthotrophon striatoides,molluscs,family,NA,271
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus achilles,fish,genus,NA,272
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus albimento,fish,genus,NA,273
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus albipectoralis,fish,genus,NA,274
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus auranticavus,fish,genus,NA,275
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus bahianus,fish,genus,NA,276
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus bariene,fish,genus,NA,277
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus blochii,fish,genus,NA,278
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus chirurgus,fish,genus,NA,279
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus chronixis,fish,genus,NA,280
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus coeruleus,fish,genus,NA,281
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus dussumieri,fish,none,species,282
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus fowleri,fish,genus,NA,283
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus gahhm,fish,genus,NA,284
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus grammoptilus,fish,genus,NA,285
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus guttatus,fish,genus,NA,286
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus japonicus,fish,genus,NA,287
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus leucocheilus,fish,genus,NA,288
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus leucopareius,fish,genus,NA,289
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus leucosternon,fish,genus,NA,290
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus lineatus,fish,genus,NA,291
actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus maculiceps,fish,genus,NA,292
