category,trait,arctocephalus,balaena mysticetus,balaenoptera acutorostrata,balaenoptera bonaerensis,balaenoptera borealis,balaenoptera brydei,balaenoptera edeni,balaenoptera musculus,balaenoptera physalus,berardius bairdii,callorhinus,caperea marginata,cephalorhynchus hectori,delphinapterus leucas,delphinus,dugong dugon,enhydra lutris,eschrichtius robustus,eubalaena australis,eubalaena glacialis,eubalaena japonica,eumetopias,feresa attenuata,globicephala,grampus griseus,hyperoodon ampullatus,indopacetus pacificus,kogia,kogia breviceps,lagenodelphis hosei,lagenorhynchus,lagenorhynchus acutus,lissodelphis borealis,megaptera novaeangliae,mesoplodon bidens,mesoplodon densirostris,mesoplodon europaeus,mesoplodon mirus,mesoplodon stejnegeri,monodon monoceros,neophoca,odobenus rosmarus,orcinus orca,otaria,peponocephala electra,phocarctos,phocidae,phocoena sinus,physeter macrocephalus,pseudorca crassidens,sousa chinensis taiwanensis,stenella,stenella clymene,stenella frontalis,steno bredanensis,trichechus manatus,trichechus senegalensis,tursiops truncatus,ursus maritimus,zalophus,ziphius cavirostris
biophysical traits,adult body mass/body size,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm,>1000mm
biophysical traits,biomineral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,NA,NA
biophysical traits,calcium carbonate structure location,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
biophysical traits,calcium carbonate structure stages,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
biophysical traits,communication requirement (sound),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
biophysical traits,extreme pressure wave sensitive structures,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,low,NA,low,NA,low,low,low,NA,NA,NA,NA,low,low,low,low,NA,NA,NA,NA,NA,low,NA,low,NA,NA,NA,NA,NA,NA,NA,low,low,low,low,low,low,low,NA,NA,low,low,low,NA,NA,low,low,low,NA,low,low,NA
biophysical traits,flight,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,navigation requirements (light),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,yes,NA,NA,NA,NA,NA,yes,NA,yes,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,yes,yes,yes,yes,yes,yes,NA,NA,yes,yes,NA,NA
biophysical traits,navigation requirements (sound),NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,NA,NA,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,NA,yes,NA,yes,NA,NA,yes,yes,yes,yes,yes,yes,yes,yes,NA,NA,yes,NA,NA,yes
biophysical traits,respiration structures,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs,lungs
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,unknown,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,many,NA,many,NA,few;many,NA,NA,many,many,NA,many,NA,many,many,many,many,few,many,many,few,NA,many,many,many,many,many,NA,NA,NA,NA,many,NA,many,many,NA,NA,NA,NA,NA,NA,many,many,many,many,many,many,many,one,many,many,many,many,NA,NA,many,many,many,many,does not aggregate,many,NA
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,yes,yes,yes,unknown,yes,NA,NA,yes,yes,NA,yes,NA,no,yes,no,no,NA,many,yes,yes,unknown,yes,no,no,no,yes,NA,unknown,NA,NA,no,NA,no,yes,NA,NA,NA,NA,NA,NA,yes,yes,no,yes,no,yes,yes,one,many,no,no,no,NA,NA,no,no,no,yes,NA,yes,NA
foraging range,"if one/few, size",NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
foraging range,"number of sites, incl. terrestrial wetlands",many,NA,many,NA,few;many,NA,NA,many,many,NA,many,NA,many,many,many,many,does not aggregate,NA,many,few,few,many,many,many,many,many,NA,many,NA,NA,many,NA,many,many,NA,NA,NA,NA,NA,NA,many,many,many,many,many,many,many,one,NA,many,many,many,NA,NA,many,many,many,many,many,many,NA
foraging range,sub-population dependence on particular sites,no,yes,yes,unknown,yes,NA,NA,yes,yes,NA,no,NA,NA,yes,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,yes,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
